06/30/2017 17:54, ,2.0641,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/30/2017 17:39, ,0.51282,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/30/2017 17:13, ,2.8051282,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/30/2017 16:30,4.65961623, ,1HgKh6h38buEEr5pZnJLveS1MSnUyPtaUr
06/30/2017 11:17, ,1.538461,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/30/2017 08:37, ,0.133333,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/30/2017 08:33, ,2.59977954,Bitcoin sell #12323825 ozomedia (1000+; 100%)
06/30/2017 08:30, ,1.03636072,Bitcoin sell #12323769 Issy2324 (100+; 100%)
06/30/2017 08:11, ,1.1987179,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/29/2017 17:06, ,1.107018,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/29/2017 16:36,5.79011516, ,1HgKh6h38buEEr5pZnJLveS1MSnUyPtaUr
06/29/2017 14:52, ,1.2411027,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/29/2017 10:42, ,1.152882,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/29/2017 08:13, ,0.807691,Send to bitcoin address 1CPtsx4HwUHyaaE3CsXEQD8HxV81GmA64C
06/29/2017 08:13, ,0.00019416,fee
06/29/2017 07:36, ,0.7518796,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/28/2017 19:44,5.46853486, ,1HgKh6h38buEEr5pZnJLveS1MSnUyPtaUr
06/28/2017 16:21, ,0.4090909,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/28/2017 15:24, ,1.01010101,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/28/2017 14:16, ,1.5151515,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/28/2017 10:50, ,1.717172,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/28/2017 10:27, ,1.4646464,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/28/2017 09:45, ,2.474747,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/28/2017 07:44,8.46937477, ,1HgKh6h38buEEr5pZnJLveS1MSnUyPtaUr
06/27/2017 15:41, ,3.91959798,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/27/2017 15:25,4.99393196, ,1HgKh6h38buEEr5pZnJLveS1MSnUyPtaUr
06/27/2017 09:22, ,3.86058981,Bitcoin sell #12243437 VirtualV (500+; 100%)
06/27/2017 08:09, ,3.38480384,Bitcoin sell #12242220 skegyuk (50 000+; 100%)
06/27/2017 08:06, ,1.1055276,Internal transaction to 18TXvvRwnSm85yAZtXUECFBnzTgJY4UsTT
06/27/2017 07:09,8.42573084, ,1HgKh6h38buEEr5pZnJLveS1MSnUyPtaUr
06/26/2017 12:54, ,4.90654084,Bitcoin sell #12220761 BitBroker.co.uk.Martin (3000+; 100%)
06/26/2017 10:14, ,1.02044981,Bitcoin sell #12217517 Blazeart (100+; 100%)
06/26/2017 07:42, ,0.642792,Send to bitcoin address 1CPtsx4HwUHyaaE3CsXEQD8HxV81GmA64C
06/26/2017 07:42, ,0.0001796,fee
06/26/2017 01:00,6.56325984, ,1HgKh6h38buEEr5pZnJLveS1MSnUyPtaUr
06/23/2017 17:27, ,2.80844935,Bitcoin sell #12156312 Topogetcrypto (15 000+; 100%)
06/23/2017 17:26,2.7888906, ,Contact #12156228 trade canceled
